accident_ymd,기타,분만,소화기,신경계,심혈관,외상,체온,출혈,통증,호흡기
20210802,214,0,6,177,83,76,47,9,438,62
20210803,211,1,18,128,79,91,45,3,432,60
20210804,197,0,16,126,85,59,45,8,416,62
20210805,197,0,4,149,83,89,48,8,411,50
20210806,243,0,13,125,75,82,61,10,396,60
20210807,206,0,15,139,88,98,46,9,375,51
20210808,176,0,18,124,53,91,60,4,351,46
20210809,229,2,11,171,87,78,41,8,464,68
20210810,162,0,9,131,81,63,61,1,319,46
20210811,201,0,11,150,79,81,58,5,402,51
20210812,258,1,10,115,70,66,42,4,407,46
20210813,193,0,9,147,81,102,62,6,445,51
20210814,210,1,16,131,67,106,47,12,419,47
20210815,185,0,16,123,94,95,31,8,425,46
20210816,169,0,11,133,76,94,39,9,413,56
20210817,207,1,10,158,80,106,76,8,430,67
20210818,192,2,16,143,67,90,44,5,388,54
20210819,231,0,10,154,75,84,61,4,391,56
20210820,211,0,13,137,66,86,36,12,416,49
20210821,170,0,14,127,73,98,37,7,447,55
20210822,173,0,12,114,66,94,43,2,425,59
20210823,224,0,11,157,84,91,46,10,496,53
20210824,226,0,14,131,77,89,47,10,434,66
20210825,234,0,16,169,106,91,46,4,442,76
20210826,208,0,13,157,84,93,55,6,444,68
20210827,219,2,13,135,93,98,55,9,434,64
20210828,214,0,19,148,86,110,45,10,443,62
20210829,178,1,14,138,97,92,40,7,413,56
20210830,214,0,19,170,86,88,60,8,480,40
20210831,205,1,10,135,86,109,43,5,421,60
20210901,222,0,11,141,78,84,35,10,391,50
20210902,215,2,10,135,75,88,47,7,396,66
20210903,203,0,21,152,95,110,57,10,411,79
20210904,187,0,9,128,97,86,48,3,428,41
20210905,171,0,12,115,87,103,44,8,421,51
20210906,197,1,16,163,97,90,47,7,488,61
20210907,189,2,15,128,90,98,48,9,429,56
20210908,218,0,12,160,80,82,55,9,450,44
20210909,217,1,17,171,99,86,54,7,482,62
20210910,230,0,14,148,102,106,54,5,451,72
20210911,212,0,13,153,93,101,45,2,481,55
20210912,205,5,20,115,79,108,62,6,427,54
20210913,231,0,17,172,107,102,48,8,484,69
20210914,258,3,9,145,110,83,46,12,434,62
20210915,207,0,17,151,84,79,61,3,440,60
20210916,214,0,19,146,81,103,44,11,500,56
20210917,210,0,21,113,89,102,63,10,488,53
20210918,215,0,12,130,88,114,50,10,470,49
20210919,202,0,15,135,91,91,42,7,440,45
20210920,256,0,5,116,82,102,48,7,442,57
20210921,236,1,9,133,72,91,53,7,396,48
20210922,198,1,11,120,81,101,64,7,411,52
20210923,271,0,11,153,95,82,59,7,443,58
20210924,293,1,13,122,82,96,37,9,432,43
20210925,234,0,9,143,77,111,55,9,421,56
20210926,241,2,9,123,82,99,40,7,431,49
20210927,253,0,16,133,111,75,60,7,451,49
20210928,212,0,16,146,92,85,43,8,442,63
20210929,246,0,12,138,76,95,47,9,448,74
20210930,221,0,10,152,78,102,50,6,481,61
20211001,250,1,12,165,93,119,48,5,421,52
20211002,221,0,11,125,89,94,37,10,439,45
20211003,223,1,8,131,68,96,38,14,423,47
20211004,214,1,13,130,81,90,46,8,458,68
20211005,162,1,13,179,90,88,47,9,469,75
20211006,187,1,9,145,90,78,52,8,393,60
20211007,186,0,4,131,69,89,52,10,442,58
20211008,180,0,13,155,75,75,52,9,468,76
20211009,194,0,13,148,68,104,27,8,405,47
20211010,159,0,10,123,71,94,40,7,413,51
20211011,181,1,9,97,58,80,52,6,422,61
20211012,188,1,15,157,81,91,44,14,384,47
20211013,173,0,12,152,84,79,48,13,372,58
20211014,174,1,11,123,84,90,42,8,433,56
20211015,180,0,13,134,95,101,38,6,427,59
20211016,162,1,11,119,99,104,41,6,394,38
20211017,136,0,15,97,77,76,49,7,378,45
20211018,179,0,8,137,90,70,42,3,463,62
20211019,161,4,13,117,108,82,52,7,395,56
20211020,155,1,10,129,76,89,55,13,410,42
20211021,165,1,9,139,84,83,42,5,398,52
20211022,188,1,16,131,90,87,51,10,441,57
20211023,170,0,15,130,80,110,48,9,435,50
20211024,181,0,13,119,77,92,45,7,406,46
20211025,166,2,8,150,110,84,47,4,467,75
20211026,170,0,9,148,103,92,51,9,401,50
20211027,181,0,9,158,89,80,55,4,438,37
20211028,175,1,9,141,79,80,49,7,465,47
20211029,189,0,11,149,83,83,69,8,447,63
20211030,171,1,8,112,80,96,55,7,460,58
20211031,144,1,16,109,71,100,59,7,431,59
20211101,186,1,12,137,104,77,58,8,449,63
20211102,169,0,12,135,99,94,69,10,427,53
20211103,204,2,15,137,74,93,50,9,444,61
20211104,195,2,11,141,83,98,41,6,427,73
20211105,199,1,6,145,73,104,53,10,481,63
20211106,172,0,21,136,71,103,59,9,478,58
20211107,182,2,20,131,79,90,52,8,436,58
20211108,179,0,14,145,96,98,64,4,488,69
20211109,182,0,16,141,69,91,59,7,426,51
20211110,193,1,12,145,78,84,45,10,436,57
20211111,167,0,8,145,82,94,44,10,397,57
20211112,187,0,18,148,83,94,44,11,397,48
20211113,182,0,19,144,63,134,61,8,459,52
20211114,207,0,16,129,69,91,46,2,429,69
20211115,206,0,14,159,96,93,59,6,511,61
20211116,194,2,13,121,79,81,52,10,411,56
20211117,176,2,10,121,81,95,61,12,409,76
20211118,191,0,17,132,81,111,61,10,422,70
20211119,203,0,17,162,65,100,52,5,423,77
20211120,190,2,21,119,88,117,60,8,425,68
20211121,182,1,14,154,71,100,67,7,423,57
20211122,199,1,6,156,79,83,63,9,470,71
20211123,204,1,14,125,67,87,31,9,348,56
20211124,186,1,18,132,98,94,54,10,445,65
20211125,202,0,13,116,100,90,51,5,427,65
20211126,212,1,11,146,91,95,43,6,399,62
20211127,181,0,14,109,78,116,60,9,362,54
20211128,175,1,18,120,63,104,62,6,410,66
20211129,215,0,12,138,80,70,41,9,443,56
20211130,192,2,16,112,92,87,51,7,393,73
20211201,167,1,12,143,92,87,60,11,403,54
20211202,172,0,16,118,96,69,55,10,399,62
20211203,172,0,13,108,78,94,34,10,420,83
20211204,165,1,12,124,73,98,51,12,398,61
20211205,181,2,16,129,81,102,50,10,371,63
20211206,178,0,11,156,105,68,56,11,451,84
20211207,188,1,13,138,88,74,55,6,381,75
20211208,182,1,17,133,94,79,56,8,412,79
20211209,204,1,8,136,74,81,55,10,374,105
20211210,186,2,18,97,93,72,62,8,399,87
20211211,204,0,11,113,80,89,64,9,368,89
20211212,188,0,15,106,61,92,64,3,347,87
20211213,181,1,8,129,99,87,56,7,438,78
20211214,166,3,14,120,86,67,54,8,381,82
20211215,173,0,5,122,80,80,64,12,385,88
20211216,201,3,20,123,82,89,53,9,396,85
20211217,193,0,14,113,91,86,62,6,368,94
20211218,187,0,13,122,75,117,53,5,445,80
20211219,177,4,9,103,75,75,49,4,443,65
20211220,189,2,8,124,83,71,47,6,413,73
20211221,190,2,19,114,102,80,57,9,379,85
20211222,163,0,6,115,85,84,33,5,350,73
20211223,175,4,9,110,65,88,42,12,389,96
20211224,180,0,13,107,67,100,40,12,396,59
20211225,152,2,11,99,65,78,42,6,362,56
20211226,135,1,11,91,80,64,34,6,292,55
20211227,147,2,11,107,98,64,44,10,408,63
20211228,173,3,15,119,81,80,35,7,366,58
20211229,164,3,11,121,82,81,57,5,404,49
20211230,186,3,13,116,82,97,25,11,405,58
20211231,179,1,15,107,81,99,50,6,414,59
20220101,149,3,19,109,79,87,44,13,360,47
20220102,138,1,8,105,77,81,43,2,387,57
20220103,162,1,8,117,93,84,31,6,406,72
20220104,176,2,15,94,85,74,25,7,331,57
20220105,183,1,15,123,80,70,40,9,356,52
20220106,149,1,17,126,83,74,32,8,358,54
20220107,143,0,15,113,81,87,44,3,396,53
20220108,147,2,16,122,65,97,57,4,366,52
20220109,145,1,26,125,64,77,49,12,354,52
20220110,167,0,9,143,80,69,37,10,423,57
20220111,144,1,10,120,88,88,38,12,392,54
20220112,170,0,18,120,71,87,45,5,382,50
20220113,163,1,17,114,99,87,31,5,336,46
20220114,130,1,9,144,67,67,41,9,406,58
20220115,143,0,11,115,88,93,48,7,389,38
20220116,159,0,14,106,67,82,45,6,390,51
20220117,158,3,20,128,89,64,51,9,401,54
20220118,162,0,16,127,90,82,49,9,363,37
20220119,166,1,8,88,71,105,35,14,383,57
20220120,146,1,19,110,88,84,33,6,388,49
20220121,183,2,13,139,66,94,27,5,411,67
20220122,178,0,15,108,71,97,42,6,409,40
20220123,142,0,14,123,91,95,47,4,381,43
20220124,195,2,15,128,96,74,44,14,412,50
20220125,148,1,14,150,99,86,36,7,357,44
20220126,187,1,15,125,62,102,44,10,406,55
20220127,192,1,15,124,67,73,57,6,370,51
20220128,168,0,14,125,67,78,41,5,407,44
20220129,164,1,16,117,66,92,65,9,405,48
20220130,137,2,19,129,75,89,60,11,368,50
20220131,177,1,12,117,79,88,68,9,388,40
20220201,165,1,21,111,66,67,59,10,431,38
20220202,184,2,17,112,83,78,64,3,459,55
20220203,188,1,16,128,85,76,58,4,458,60
20220204,174,2,13,120,88,71,68,7,455,50
20220205,185,0,18,103,80,100,56,7,395,41
20220206,181,0,18,104,78,61,50,10,369,51
20220207,202,2,15,144,84,62,60,10,427,66
20220208,206,2,15,109,71,91,49,9,422,58
20220209,204,0,12,136,96,72,66,9,363,43
20220210,198,0,9,124,75,78,65,7,396,64
20220211,194,1,20,144,80,81,72,8,376,59
20220212,234,0,15,126,80,98,69,8,398,52
20220213,205,4,22,115,72,94,75,6,391,52
20220214,205,1,10,152,92,80,70,15,439,57
20220215,210,2,4,115,74,92,81,8,395,64
20220216,183,1,13,105,70,73,72,9,364,51
20220217,204,3,10,102,84,75,70,7,355,57
20220218,241,1,14,112,79,82,73,6,390,58
20220219,194,3,12,111,92,85,93,8,416,49
20220220,197,2,15,115,94,92,83,7,368,67
20220221,197,2,22,121,88,85,84,10,358,69
20220222,211,0,13,120,86,78,103,11,429,72
20220223,223,3,18,127,82,61,73,9,371,68
20220224,219,5,17,129,100,78,98,5,415,63
20220225,244,5,6,136,89,89,116,14,437,59
20220226,217,3,13,108,76,110,133,11,393,83
20220227,246,2,19,121,82,87,110,7,386,73
20220228,243,4,16,141,70,81,99,10,470,72
20220301,199,1,19,122,81,97,138,12,389,73
20220302,222,3,20,146,109,87,121,8,423,79
20220303,225,3,14,143,88,68,122,5,422,83
20220304,248,3,10,128,86,69,105,6,427,86
20220305,257,0,12,128,67,90,128,5,385,74
20220306,227,2,14,127,95,82,129,10,346,91
20220307,249,1,11,163,99,67,133,9,410,76
20220308,234,2,18,116,80,81,130,11,422,94
20220309,253,3,18,114,89,94,138,5,416,70
20220310,249,2,15,128,106,79,152,8,418,90
20220311,248,3,21,111,69,84,142,11,443,86
20220312,229,5,21,136,109,99,157,9,397,102
20220313,243,11,19,131,98,85,162,9,421,94
20220314,264,0,25,163,101,83,126,13,421,86
20220315,264,3,21,167,76,85,124,11,385,88
20220316,302,5,12,139,116,85,142,16,391,105
20220317,260,4,16,142,100,101,109,9,398,94
20220318,244,3,17,132,78,79,106,7,401,96
20220319,233,4,15,143,96,95,121,9,380,90
20220320,243,3,19,128,88,80,129,9,371,81
20220321,238,0,14,156,107,91,85,11,420,97
20220322,215,2,15,143,86,90,111,13,383,91
20220323,244,2,16,142,84,72,93,13,361,87
20220324,207,3,18,157,103,64,88,9,397,101
20220325,257,0,23,142,88,87,89,11,429,79
20220326,251,4,15,126,103,96,106,9,443,82
20220327,181,4,9,123,96,92,118,5,424,69
20220328,239,1,24,149,96,75,116,11,421,100
20220329,264,1,15,157,89,79,93,13,443,97
20220330,222,1,21,146,100,75,85,10,400,96
20220331,249,3,21,156,98,99,95,10,427,80
20220401,217,1,16,152,94,85,56,12,432,71
20220402,216,1,21,136,85,114,69,11,436,76
20220403,189,0,11,128,66,94,102,11,401,68
20220404,196,3,21,145,106,95,86,13,450,86
20220405,194,1,27,150,80,93,82,8,432,68
20220406,214,0,14,124,83,81,58,10,411,80
20220407,217,5,20,135,99,96,74,9,439,82
20220408,224,2,15,151,99,115,61,13,456,66
20220409,198,2,21,144,95,112,77,9,475,74
20220410,177,2,8,143,93,130,75,10,415,72
20220411,233,0,20,169,102,88,60,10,465,97
20220412,196,1,13,139,88,118,76,7,413,79
20220413,156,1,18,145,69,83,64,13,421,70
20220414,175,2,18,127,90,93,55,8,428,48
20220415,192,1,13,150,97,118,58,7,424,66
20220416,165,2,18,128,66,134,49,9,419,51
20220417,140,1,14,124,72,112,51,14,408,54
20220418,167,2,18,154,101,99,54,15,442,79
20220419,158,0,18,133,82,109,44,9,434,51
20220420,180,2,12,140,74,117,44,6,435,63
20220421,194,0,19,131,84,117,60,13,425,68
20220422,146,1,14,143,83,128,52,5,408,68
20220423,173,2,14,127,78,124,60,10,420,65
20220424,142,0,17,113,85,120,53,10,464,49
20220425,160,1,11,151,100,94,47,9,497,66
20220426,208,2,12,150,82,115,33,8,403,58
20220427,145,0,17,134,79,115,36,7,412,63
20220428,158,2,17,139,78,109,42,14,416,48
20220429,163,2,12,148,63,96,34,6,417,48
20220430,160,0,20,149,68,146,42,7,461,57
20220501,154,1,18,133,52,114,37,11,436,46
20220502,171,0,21,152,81,108,42,6,477,64
20220503,150,3,19,142,77,97,45,7,461,49
20220504,176,1,18,167,72,112,32,5,450,51
20220505,157,0,9,127,74,112,51,13,470,45
20220506,153,0,19,168,87,84,48,7,463,62
20220507,165,1,13,134,66,130,35,7,403,72
20220508,114,1,25,135,69,103,43,7,427,48
20220509,177,2,18,169,75,105,30,7,482,60
20220510,146,1,14,160,82,112,43,6,487,44
20220511,169,1,18,175,91,113,29,15,468,43
20220512,159,1,18,160,62,112,36,10,435,65
20220513,156,2,15,150,71,123,43,11,464,59
20220514,146,2,20,118,71,152,39,5,483,48
20220515,139,1,21,133,61,123,37,4,459,52
20220516,178,0,12,179,69,85,30,9,515,54
20220517,167,1,15,152,73,91,41,9,426,52
20220518,151,1,17,151,74,99,34,11,390,61
20220519,156,1,20,180,67,134,41,16,454,61
20220520,155,0,18,203,86,121,25,9,439,56
20220521,153,0,19,156,62,147,33,10,487,48
20220522,165,1,13,151,74,130,45,6,459,56
20220523,168,2,15,195,94,105,42,4,490,81
20220524,158,2,25,175,67,89,40,8,426,48
20220525,143,1,21,159,67,122,30,6,460,46
20220526,157,0,18,170,66,126,27,6,465,59
20220527,139,0,12,183,83,129,34,4,495,49
20220528,154,0,17,160,66,161,32,6,468,53
20220529,123,1,10,175,76,121,35,6,449,70
20220530,173,0,15,162,93,92,35,7,457,59
20220531,140,1,14,147,68,126,30,10,482,37
20220601,138,1,19,149,82,148,47,9,455,53
20220602,150,0,13,162,61,107,29,9,446,53
20220603,140,0,23,139,70,91,46,6,513,61
20220604,132,1,17,140,69,118,40,12,448,44
20220605,117,0,20,137,71,111,37,5,476,38
20220606,102,1,13,135,68,99,34,7,476,52
20220607,147,1,12,143,77,94,40,10,550,54
20220608,139,2,15,163,74,99,37,11,427,45
20220609,160,2,15,159,71,90,42,10,406,49
20220610,135,1,11,151,52,102,36,9,416,49
20220611,138,0,19,164,63,108,44,10,439,62
20220612,129,2,15,137,80,116,40,8,468,38
20220613,157,2,11,171,75,72,53,8,478,68
20220614,126,1,13,157,63,95,44,9,456,53
20220615,125,0,16,159,61,114,29,6,413,42
20220616,139,0,17,152,47,123,44,8,434,41
20220617,173,0,21,155,70,113,39,10,414,62
20220618,125,0,14,153,72,131,36,8,442,45
20220619,120,0,22,151,81,126,42,7,444,57
20220620,166,0,23,197,77,98,48,12,460,56
20220621,154,0,12,178,69,126,53,9,452,61
20220622,142,0,17,191,89,101,31,5,449,41
20220623,123,2,18,181,66,128,38,4,474,35
20220624,162,2,20,174,63,132,44,5,469,46
20220625,148,1,22,149,57,119,57,3,500,53
20220626,120,0,16,153,70,140,37,5,459,46
20220627,170,1,26,155,85,93,42,11,497,58
20220628,137,2,9,147,73,128,55,6,431,55
20220629,127,1,15,165,69,127,42,9,478,57
20220630,144,1,19,161,71,120,56,8,477,52
20220701,183,2,25,180,61,114,46,7,537,51
20220702,151,1,16,179,78,148,60,9,499,34
20220703,152,0,17,157,88,126,58,8,483,43
20220704,188,0,13,220,71,103,55,5,541,65
20220705,168,1,19,161,63,123,78,6,468,47
20220706,171,1,12,166,77,95,87,5,460,62
20220707,155,0,29,178,71,125,67,6,424,57
20220708,153,0,22,147,86,105,49,8,448,50
20220709,164,0,27,146,81,127,67,7,511,52
20220710,164,1,19,149,81,115,76,5,549,48
20220711,171,0,30,201,73,94,76,6,497,70
20220712,178,1,19,172,75,93,70,10,468,51
20220713,138,2,12,167,72,81,68,9,507,48
20220714,136,2,23,158,87,132,59,7,510,53
20220715,177,2,15,143,75,113,99,4,463,62
20220716,150,0,23,139,81,95,69,7,495,58
20220717,146,0,21,169,68,131,80,8,509,37
20220718,208,0,17,171,86,117,83,11,540,62
20220719,153,0,14,167,63,102,92,8,480,60
20220720,181,0,19,176,72,105,64,4,498,53
20220721,160,2,16,143,71,99,101,6,489,45
20220722,169,0,21,185,74,109,80,12,483,61
20220723,169,2,28,156,58,134,97,11,526,53
20220724,165,2,16,145,65,105,90,9,484,61
20220725,194,1,16,202,76,114,90,16,526,72
20220726,174,1,13,185,67,113,80,8,515,63
20220727,206,0,16,197,92,105,99,9,496,66
20220728,204,4,20,146,78,113,84,10,487,47
20220729,211,0,26,174,75,98,121,14,497,59
20220730,215,0,17,152,88,138,88,8,523,68
20220731,167,1,28,134,59,127,111,11,519,67
20220801,219,0,11,181,76,107,108,10,584,64
20220802,203,1,13,163,78,127,103,11,526,52
20220803,199,0,18,157,61,112,97,12,486,58
20220804,190,0,16,197,80,97,126,11,530,54
20220805,186,0,20,156,67,115,132,12,513,48
20220806,163,0,25,163,66,115,117,8,516,68
20220807,169,0,24,179,66,112,136,9,509,64
20220808,184,0,15,170,101,116,92,11,521,57
20220809,174,2,20,166,72,122,101,11,537,78
20220810,202,0,15,156,63,97,117,10,513,70
20220811,201,1,12,179,65,102,125,8,491,64
20220812,228,1,22,168,69,119,91,10,522,61
20220813,166,0,28,175,76,128,109,7,490,54
20220814,207,0,21,162,69,122,143,9,486,70
20220815,196,1,23,172,86,107,143,17,507,81
20220816,200,0,23,188,90,114,104,10,489,64
20220817,177,1,25,194,81,114,102,5,482,65
20220818,183,0,13,168,80,107,98,16,517,63
20220819,190,1,20,169,90,121,110,4,505,68
20220820,204,4,17,168,72,132,111,9,522,70
20220821,176,3,26,158,81,153,104,10,518,68
20220822,210,1,18,195,80,123,113,12,528,76
20220823,179,0,12,166,78,107,109,9,448,58
20220824,165,0,21,183,67,130,86,11,497,41
20220825,164,2,16,151,59,103,80,9,486,53
20220826,180,1,17,170,67,114,80,6,490,51
20220827,172,1,17,140,76,134,91,9,527,58
20220828,154,1,11,155,61,106,103,9,531,65
20220829,173,1,17,201,84,115,82,8,542,58
20220830,159,1,11,149,69,92,59,4,452,63
20220831,157,0,18,160,72,104,88,3,502,64
20220901,173,0,21,180,80,111,94,7,508,58
20220902,153,1,24,153,95,119,71,13,553,59
20220903,160,1,24,135,92,133,107,11,511,48
20220904,161,2,17,164,71,113,87,13,517,56
20220905,162,1,11,167,78,102,75,6,558,69
20220906,167,3,14,167,70,111,60,13,458,54
20220907,179,3,16,176,50,126,86,6,528,38
20220908,175,3,13,149,70,122,72,8,458,53
20220909,175,0,14,153,70,133,73,7,450,64
20220910,177,3,20,149,69,109,91,3,472,55
20220911,156,4,25,128,75,111,98,8,469,63
20220912,168,0,17,131,82,96,84,9,512,76
20220913,205,2,13,198,93,90,74,9,561,66
20220914,172,0,10,150,83,99,68,11,459,63
20220915,185,0,21,173,75,105,58,11,480,68
20220916,161,0,20,174,76,129,61,6,512,70
20220917,152,0,20,179,64,131,86,7,499,66
20220918,172,0,21,156,91,136,71,5,551,71
20220919,169,1,16,206,72,106,87,11,519,66
20220920,147,2,15,157,63,123,58,11,438,51
20220921,145,1,16,151,68,106,56,15,493,48
20220922,129,1,19,142,72,111,58,4,482,50
20220923,146,0,7,136,75,140,64,14,473,32
20220924,130,1,14,154,60,137,45,10,504,55
20220925,135,1,19,145,69,113,57,12,455,32
20220926,169,0,19,155,74,85,52,12,510,56
20220927,131,0,14,136,68,83,55,12,486,55
20220928,142,0,15,154,77,97,54,9,470,42
20220929,144,0,19,139,83,125,59,10,451,69
20220930,160,0,15,157,55,107,49,7,490,49
20221001,171,1,17,157,60,149,72,10,486,36
20221002,146,0,16,142,71,133,60,8,498,50
20221003,150,0,19,141,67,129,52,8,513,58
20221004,181,0,16,181,66,105,73,11,446,50
20221005,167,1,5,137,76,92,46,11,443,43
20221006,152,0,19,154,59,107,51,7,470,45
20221007,164,1,16,135,68,112,58,1,480,48
20221008,139,1,16,139,60,126,59,4,466,71
20221009,127,1,24,134,68,105,53,4,509,53
20221010,118,0,18,119,60,106,42,7,428,49
20221011,141,0,11,164,84,95,43,10,477,44
20221012,172,1,9,154,77,126,49,6,476,55
20221013,148,1,13,128,74,92,46,10,460,54
20221014,126,0,18,145,77,127,59,5,467,46
20221015,143,0,17,144,67,138,59,8,515,43
20221016,141,2,20,151,67,126,62,6,469,47
20221017,138,1,18,153,71,97,41,13,495,56
20221018,135,0,15,150,68,92,62,2,444,58
20221019,144,0,17,142,52,106,58,5,419,54
20221020,151,0,17,149,78,116,52,6,462,57
20221021,178,0,13,141,57,114,54,6,477,66
20221022,166,1,16,148,75,119,65,13,531,56
20221023,132,2,13,133,76,123,70,11,470,48
20221024,167,0,16,151,104,103,64,8,525,75
20221025,157,1,9,161,78,76,58,11,461,53
20221026,136,3,19,139,88,98,68,15,446,45
20221027,159,2,18,163,88,121,63,10,430,59
20221028,142,0,17,163,89,106,84,13,497,53
20221031,188,3,16,193,91,93,63,10,466,68
20221101,157,0,17,162,80,101,57,8,443,62
20221102,143,0,10,166,72,102,55,10,418,63
20221103,135,0,14,156,75,102,57,6,479,51
20221104,143,0,14,148,66,83,53,6,480,53
20221105,143,1,10,144,59,108,59,10,492,54
20221106,151,1,13,165,70,120,66,13,461,63
20221107,145,1,11,178,72,98,59,11,462,73
20221108,152,1,12,169,75,95,57,9,444,70
20221109,130,2,10,154,74,93,73,7,425,60
20221110,172,2,17,183,74,105,84,6,477,71
20221111,143,0,17,157,79,112,83,10,463,57
20221112,171,0,13,136,73,137,66,11,482,65
20221113,147,0,16,135,87,111,75,8,443,50
20221114,160,0,11,195,96,118,77,10,515,78
20221115,161,0,15,146,75,92,56,5,447,72
20221116,151,0,12,161,81,114,63,7,462,71
20221117,152,3,16,190,68,111,57,10,403,50
20221118,143,0,17,174,79,110,55,12,465,53
20221119,142,2,14,148,90,142,76,13,471,48
20221120,161,1,23,145,85,134,73,7,485,48
20221121,165,0,12,190,75,89,71,10,479,78
20221122,156,1,17,138,76,107,68,5,456,57
20221123,124,1,12,162,79,95,74,11,443,58
20221124,160,2,20,169,76,105,66,10,444,76
20221125,165,0,18,137,69,102,56,9,448,79
20221126,147,0,20,126,77,132,63,12,464,43
20221127,132,1,18,147,66,119,77,9,423,66
20221128,156,2,18,163,77,109,51,9,518,82
20221129,159,0,17,170,70,82,65,6,439,58
20221130,124,2,9,133,63,101,53,9,435,45
20221201,134,0,19,136,70,77,72,12,399,54
20221202,145,0,13,147,76,111,82,5,420,68
20221203,144,0,16,176,76,118,54,11,438,65
20221204,110,1,20,138,65,117,54,8,424,47
20221205,162,1,22,153,67,101,78,12,535,83
20221206,142,1,17,142,83,98,68,11,468,59
20221207,153,0,20,151,77,121,79,4,464,53
20221208,144,0,22,149,69,114,66,2,467,71
20221209,159,1,12,177,83,118,83,6,431,58
20221210,155,2,20,132,81,107,63,12,470,66
20221211,122,0,14,128,80,106,88,5,468,70
20221212,147,2,15,168,92,99,79,11,502,53
20221213,152,2,12,167,86,94,60,7,450,62
20221214,138,0,18,136,69,98,74,6,462,63
20221215,146,2,20,146,69,140,71,7,526,68
20221216,132,0,17,148,83,132,62,5,492,56
20221217,158,0,19,148,86,130,87,5,526,58
20221218,133,0,18,122,74,141,81,6,465,46
20221219,142,0,19,175,83,89,72,16,510,58
20221220,146,2,13,139,77,106,69,9,468,71
20221221,148,2,16,165,74,116,79,8,510,66
20221222,146,0,11,121,74,133,99,10,533,77
20221223,127,1,25,139,84,114,75,10,479,69
20221224,172,0,20,138,87,131,63,6,474,64
20221225,128,2,13,153,84,113,85,4,506,72
20221226,163,3,12,169,91,108,74,10,541,84
20221227,170,1,15,166,72,116,92,7,477,56
20221228,175,0,22,159,103,110,78,16,510,67
20221229,178,3,14,139,95,118,68,7,465,57
20221230,132,1,21,162,94,132,62,13,536,67
20221231,155,3,16,153,69,106,70,10,464,65
